model,epoch,train_loss,val_mean_auprc,seconds
phys_only,1,0.3391792715891548,0.11029520079359982,2.989872694015503
phys_only,2,0.2566475703664448,0.1145523640212206,2.234588384628296
phys_only,3,0.24764310866594313,0.10815129354773756,2.2882912158966064
phys_only,4,0.2382097391978554,0.1211680545005579,2.173352003097534
phys_only,5,0.22963819387166395,0.119978236346591,2.165288209915161
phys_only,6,0.2157007745426634,0.11312200561035729,2.174638032913208
phys_only,7,0.19960910379886626,0.09312102668349326,2.1639420986175537
phys_only,8,0.17821066224056742,0.09425056984920467,2.1777126789093018
phys_only,9,0.1438894229090732,0.0809083554427311,2.6001429557800293
lab_only,1,0.3729618088058803,0.021094543068005678,2.378390312194824
lab_only,2,0.31798293875611344,0.023484804500206374,2.5176734924316406
lab_only,3,0.300101542343264,0.019563914633799268,2.4453978538513184
lab_only,4,0.2845755466948385,0.01934100128017899,2.624058723449707
lab_only,5,0.2651358467081319,0.01765603634731371,2.3622052669525146
lab_only,6,0.24037901422251826,0.01725392544771512,2.506417751312256
lab_only,7,0.21231027200170186,0.01613890227713865,2.6602306365966797
text_only,1,0.37231072900087936,0.013953474987163652,2.3229305744171143
text_only,2,0.3341851773469344,0.012592251944343722,2.603861093521118
text_only,3,0.32953535162884257,0.013758805261508375,2.5217936038970947
text_only,4,0.3303031294242195,0.01444427894092195,2.5810999870300293
text_only,5,0.3230454148157783,0.015132300276642405,2.381282091140747
text_only,6,0.3183440188998761,0.013953832054146636,2.3030121326446533
text_only,7,0.3157076439131861,0.014864937503041386,2.538048505783081
text_only,8,0.3261635758306669,0.014378876231902584,2.1565968990325928
text_only,9,0.30663068501845653,0.013237291698131698,2.278698682785034
text_only,10,0.3011401575544606,0.01292661452797459,2.599931240081787
concat_all,1,0.34162031761977985,0.0956216889786294,2.2837820053100586
concat_all,2,0.24957196569961052,0.10805936292282921,2.523585557937622
concat_all,3,0.2293620084290919,0.11459449987092007,2.510868787765503
concat_all,4,0.2102863992685857,0.13973556699598239,2.2708418369293213
concat_all,5,0.18484383827966192,0.09034437820959362,2.164863348007202
concat_all,6,0.15570866504441136,0.10140767864393119,2.1624972820281982
concat_all,7,0.12759866358145425,0.1282262308712296,2.1193227767944336
concat_all,8,0.10482215855432593,0.07235057112193514,2.0524892807006836
concat_all,9,0.0868329278314891,0.09333251012300593,2.1710433959960938
