model,split,horizon_h,n,n_pos,prevalence,auroc,auprc,brier,ece,specificity_at_sens80,threshold_at_sens80,specificity_at_sens90,threshold_at_sens90,brier_calibrated,ece_calibrated
text_only,test,1,12485,41,0.0032839407288746494,0.5290550446488071,0.003556610105249265,0.004658182723380695,0.03061605719655515,0.29058180649308907,0.0203912742435932,0.16546126647380266,0.0146969696506857,0.0032750817852026303,0.0015259410616710115
text_only,test,3,12485,169,0.013536243492190628,0.5277740409838744,0.013646997615422008,0.022268495624375533,0.08117302593476336,0.25430334524196163,0.0565053559839725,0.14257875933744724,0.0423685349524021,0.013357499784194156,0.005438540700859455
text_only,test,6,12485,322,0.02579094913896676,0.5292201989232185,0.025862168877380708,0.03903513686458238,0.10028590268657224,0.23160404505467402,0.0722213685512542,0.15300501521006327,0.0583368204534053,0.025132088444894868,0.011530206569359464
multimodal_all,validation,1,14774,38,0.0025720860971977797,0.7654740985199154,0.03309160791435382,0.00417409890285898,0.021302541504352242,0.46423724212812156,0.009624422,0.2269272529858849,0.0058740363,0.002528308745255474,0.0006555364172494952
multimodal_all,validation,3,14774,178,0.012048192771084338,0.7946420598532459,0.138473365877088,0.01854881194610141,0.05621844246468119,0.596259249109345,0.044626955,0.2837078651685393,0.02232529,0.011115140010125398,0.0023481230505128527
multimodal_all,validation,6,14774,349,0.023622580208474346,0.7897273219349169,0.19807010288293433,0.03179855059492008,0.07618888514562745,0.5844714038128249,0.06895302,0.2865164644714038,0.037102334,0.020921752394870808,0.005748960545639973
multimodal_all,test,1,12485,41,0.0032839407288746494,0.8338527334164374,0.021535241655183,0.004224576104715409,0.017725727376195436,0.7504821600771456,0.021285564,0.5806010928961749,0.012242981,0.0032488460169683366,0.001689719346404273
multimodal_all,test,3,12485,169,0.013536243492190628,0.8233528906449687,0.0833431512006655,0.018086587493747648,0.04721220115478575,0.7461026307242611,0.064505085,0.605716141604417,0.04231958,0.01295250784270811,0.004819877638183465
multimodal_all,test,6,12485,322,0.02579094913896676,0.8027108995155352,0.11749662683087664,0.03185936841908477,0.06353937566035242,0.696045383540245,0.08445075,0.5464112472251912,0.057852138,0.024082823917448128,0.008016946620106718
ablation_all,validation,1,14774,38,0.0025720860971977797,0.7654740985199154,0.03309160791435382,0.00417409890285898,0.021302541504352242,0.46423724212812156,0.009624422,0.2269272529858849,0.0058740363,0.002528308745255474,0.0006555364172494952
