model,horizon_hours,auprc,ci_lower,ci_upper,n_boot,valid_bootstrap_replicates,n_stays,n_rows,n_positive,prevalence
logistic,6,0.088047165550455,0.04530128974408777,0.1509226017897472,2000,2000,245,12485,322,0.02579094913896676
phys_only,6,0.12655088749885676,0.05573818065840045,0.24726816177813865,2000,2000,245,12485,322,0.02579094913896676
concat_all,6,0.10339465590950071,0.0553025769967209,0.18023235208642163,2000,2000,245,12485,322,0.02579094913896676
multimodal_all,6,0.11749662683087664,0.05924396076162741,0.195395621608322,2000,2000,245,12485,322,0.02579094913896676
