comparison,model_a,model_b,horizon_hours,auprc_a,auprc_b,delta_auprc,ci_lower,ci_upper,n_boot,valid_bootstrap_replicates,n_common_stays
multimodal_all_minus_phys_only,multimodal_all,phys_only,6,0.11749662683087664,0.12655088749885676,-0.009054260667980124,-0.09803318155341659,0.05751893482522866,2000,2000,245
multimodal_all_minus_concat_all,multimodal_all,concat_all,6,0.11749662683087664,0.10339465590950071,0.014101970921375925,-0.049565722516820135,0.08854019230032155,2000,2000,245
multimodal_all_minus_logistic,multimodal_all,logistic,6,0.11749662683087664,0.088047165550455,0.02944946128042164,-0.014534928053477015,0.0862319205849802,2000,2000,245
